time;Portata [Nm3/h];%CH4;LHV [kWh/Nm3];Pin [kW];;;
537;369;60;5,964;298,2;;;
538;369;60;5,964;298,2;;;
539;369;60;5,964;298,2;;;
540;369;60;5,964;298,2;;;
541;369;60;5,964;298,2;;;
542;369;60;5,964;298,2;;;
543;369;60;5,964;298,2;;;
544;369;60;5,964;298,2;;;
545;369;60;5,964;298,2;;;
546;369;60;5,964;298,2;;;
547;369;60;5,964;298,2;;;
548;369;60;5,964;298,2;;;
549;369;60;5,964;298,2;;;
550;369;60;5,964;298,2;;;
551;369;60;5,964;298,2;;;
552;369;60;5,964;298,2;;;
553;369;60;5,964;298,2;;;
554;369;60;5,964;298,2;;;
555;369;60;5,964;298,2;;;
556;369;60;5,964;298,2;;;
557;369;60;5,964;298,2;;;
558;369;60;5,964;298,2;;;
559;369;60;5,964;298,2;;;
560;369;60;5,964;298,2;;;
561;369;60;5,964;298,2;;;
562;369;60;5,964;298,2;;;
563;369;60;5,964;298,2;;;
564;369;60;5,964;298,2;;;
565;369;60;5,964;298,2;;;
566;369;60;5,964;298,2;;;
567;369;60;5,964;298,2;;;
568;369;60;5,964;298,2;;;
569;369;60;5,964;298,2;;;
570;369;60;5,964;298,2;;;
571;369;60;5,964;298,2;;;
572;369;60;5,964;298,2;;;
573;369;60;5,964;298,2;;;
574;369;60;5,964;298,2;;;
575;369;60;5,964;298,2;;;
576;369;60;5,964;298,2;;;
577;369;60;5,964;298,2;;;
578;369;60;5,964;298,2;;;
579;369;60;5,964;298,2;;;
580;369;60;5,964;298,2;;;
581;369;60;5,964;298,2;;;
582;369;60;5,964;298,2;;;
583;369;60;5,964;298,2;;;
584;369;60;5,964;298,2;;;
585;369;60;5,964;298,2;;;
586;369;60;5,964;298,2;;;
587;369;60;5,964;298,2;;;
588;369;60;5,964;298,2;;;
589;369;60;5,964;298,2;;;
590;369;60;5,964;298,2;;;
591;369;60;5,964;298,2;;;
592;369;60;5,964;298,2;;;
593;369;60;5,964;298,2;;;
594;369;60;5,964;298,2;;;
595;369;60;5,964;298,2;;;
596;369;60;5,964;298,2;;;
597;369;60;5,964;298,2;;;
598;369;60;5,964;298,2;;;
599;369;60;5,964;298,2;;;
600;369;60;5,964;298,2;;;
601;369;60;5,964;298,2;;;
602;369;60;5,964;298,2;;;
603;369;60;5,964;298,2;;;
604;369;60;5,964;298,2;;;
605;369;60;5,964;298,2;;;
606;369;60;5,964;298,2;;;
607;369;60;5,964;298,2;;;
608;369;60;5,964;298,2;;;
609;369;60;5,964;298,2;;;
610;369;60;5,964;298,2;;;
611;369;60;5,964;298,2;;;
612;369;60;5,964;298,2;;;
613;369;60;5,964;298,2;;;
614;369;60;5,964;298,2;;;
615;369;60;5,964;298,2;;;
616;369;60;5,964;298,2;;;
617;369;60;5,964;298,2;;;
618;369;60;5,964;298,2;;;
619;369;60;5,964;298,2;;;
620;369;60;5,964;298,2;;;
621;369;60;5,964;298,2;;;
622;369;60;5,964;298,2;;;
623;369;60;5,964;298,2;;;
624;369;60;5,964;298,2;;;
625;369;60;5,964;298,2;;;
626;369;60;5,964;298,2;;;
627;369;60;5,964;298,2;;;
628;369;60;5,964;298,2;;;
629;369;60;5,964;298,2;;;
630;369;60;5,964;298,2;;;
631;369;60;5,964;298,2;;;
632;369;60;5,964;298,2;;;
633;369;60;5,964;298,2;;;
634;369;60;5,964;298,2;;;
635;369;60;5,964;298,2;;;
636;369;60;5,964;298,2;;;
637;369;60;5,964;298,2;;;
638;369;60;5,964;298,2;;;
639;369;60;5,964;298,2;;;
640;369;60;5,964;298,2;;;
641;369;60;5,964;298,2;;;
642;369;60;5,964;298,2;;;
643;369;60;5,964;298,2;;;
644;369;60;5,964;298,2;;;
645;369;60;5,964;298,2;;;
646;369;60;5,964;298,2;;;
647;369;60;5,964;298,2;;;
648;369;60;5,964;298,2;;;
649;369;60;5,964;298,2;;;
650;369;60;5,964;298,2;;;
651;369;60;5,964;298,2;;;
652;369;60;5,964;298,2;;;
653;369;60;5,964;298,2;;;
654;369;60;5,964;298,2;;;
655;369;60;5,964;298,2;;;
656;369;60;5,964;298,2;;;
657;369;60;5,964;298,2;;;
658;369;60;5,964;298,2;;;
659;369;60;5,964;298,2;;;
660;369;60;5,964;298,2;;;
661;369;60;5,964;298,2;;;
662;369;60;5,964;298,2;;;
663;369;60;5,964;298,2;;;
664;369;60;5,964;298,2;;;
665;369;60;5,964;298,2;;;
666;369;60;5,964;298,2;;;
667;369;60;5,964;298,2;;;
668;369;60;5,964;298,2;;;
669;369;60;5,964;298,2;;;
670;369;60;5,964;298,2;;;
671;369;60;5,964;298,2;;;
672;369;60;5,964;298,2;;;
673;369;60;5,964;298,2;;;
674;369;60;5,964;298,2;;;
675;369;60;5,964;298,2;;;
676;369;60;5,964;298,2;;;
677;369;60;5,964;298,2;;;
678;369;60;5,964;298,2;;;
679;369;60;5,964;298,2;;;
680;369;60;5,964;298,2;;;
681;369;60;5,964;298,2;;;
682;369;60;5,964;298,2;;;
683;369;60;5,964;298,2;;;
684;369;60;5,964;298,2;;;
685;369;60;5,964;298,2;;;
686;369;60;5,964;298,2;;;
687;369;60;5,964;298,2;;;
688;369;60;5,964;298,2;;;
689;369;60;5,964;298,2;;;
690;369;60;5,964;298,2;;;
691;369;60;5,964;298,2;;;
692;369;60;5,964;298,2;;;
693;369;60;5,964;298,2;;;
694;369;60;5,964;298,2;;;
695;369;60;5,964;298,2;;;
696;369;60;5,964;298,2;;;
697;369;60;5,964;298,2;;;
698;369;60;5,964;298,2;;;
699;369;60;5,964;298,2;;;
700;369;60;5,964;298,2;;;
701;369;60;5,964;298,2;;;
702;369;60;5,964;298,2;;;
703;369;60;5,964;298,2;;;
704;369;60;5,964;298,2;;;
705;369;60;5,964;298,2;;;
706;369;60;5,964;298,2;;;
707;369;60;5,964;298,2;;;
708;369;60;5,964;298,2;;;
709;369;60;5,964;298,2;;;
710;369;60;5,964;298,2;;;
711;369;60;5,964;298,2;;;
712;369;60;5,964;298,2;;;
713;369;60;5,964;298,2;;;
714;369;60;5,964;298,2;;;
715;369;60;5,964;298,2;;;
716;369;60;5,964;298,2;;;
717;369;60;5,964;298,2;;;
718;369;60;5,964;298,2;;;
719;369;60;5,964;298,2;;;
720;369;60;5,964;298,2;;;
721;369;60;5,964;298,2;;;
722;369;60;5,964;298,2;;;
723;369;60;5,964;298,2;;;
724;369;60;5,964;298,2;;;
725;369;60;5,964;298,2;;;
726;369;60;5,964;298,2;;;
727;369;60;5,964;298,2;;;
728;369;60;5,964;298,2;;;
729;369;60;5,964;298,2;;;
730;369;60;5,964;298,2;;;
731;369;60;5,964;298,2;;;
732;369;60;5,964;298,2;;;
733;369;60;5,964;298,2;;;
734;369;60;5,964;298,2;;;
735;369;60;5,964;298,2;;;
736;369;60;5,964;298,2;;;
737;369;60;5,964;298,2;;;
738;369;60;5,964;298,2;;;
739;369;60;5,964;298,2;;;
740;369;60;5,964;298,2;;;
741;369;60;5,964;298,2;;;
742;369;60;5,964;298,2;;;
743;369;60;5,964;298,2;;;
744;369;60;5,964;298,2;;;
745;372;60;5,964;298,2;;;
746;372;60;5,964;298,2;;;
747;372;60;5,964;298,2;;;
748;372;60;5,964;298,2;;;
749;372;60;5,964;298,2;;;
750;372;60;5,964;298,2;;;
751;372;60;5,964;298,2;;;
752;372;60;5,964;298,2;;;
753;372;60;5,964;298,2;;;
754;372;60;5,964;298,2;;;
755;372;60;5,964;298,2;;;
756;372;60;5,964;298,2;;;
757;372;60;5,964;298,2;;;
758;372;60;5,964;298,2;;;
759;372;60;5,964;298,2;;;
760;372;60;5,964;298,2;;;
761;372;60;5,964;298,2;;;
762;372;60;5,964;298,2;;;
763;372;60;5,964;298,2;;;
764;372;60;5,964;298,2;;;
765;372;60;5,964;298,2;;;
766;372;60;5,964;298,2;;;
767;372;60;5,964;298,2;;;
768;372;60;5,964;298,2;;;
769;372;60;5,964;298,2;;;
770;372;60;5,964;298,2;;;
771;372;60;5,964;298,2;;;
772;372;60;5,964;298,2;;;
773;372;60;5,964;298,2;;;
774;372;60;5,964;298,2;;;
775;372;60;5,964;298,2;;;
776;372;60;5,964;298,2;;;
777;372;60;5,964;298,2;;;
778;372;60;5,964;298,2;;;
779;372;60;5,964;298,2;;;
780;372;60;5,964;298,2;;;
781;372;60;5,964;298,2;;;
782;372;60;5,964;298,2;;;
783;372;60;5,964;298,2;;;
784;372;60;5,964;298,2;;;
785;372;60;5,964;298,2;;;
786;372;60;5,964;298,2;;;
787;372;60;5,964;298,2;;;
788;372;60;5,964;298,2;;;
789;372;60;5,964;298,2;;;
790;372;60;5,964;298,2;;;
791;372;60;5,964;298,2;;;
792;372;60;5,964;298,2;;;
793;372;60;5,964;298,2;;;
794;372;60;5,964;298,2;;;
795;372;60;5,964;298,2;;;
796;372;60;5,964;298,2;;;
797;372;60;5,964;298,2;;;
