time;Potenza [kW]
1332;2312.39995
1333;2262
1334;2200.15
1335;2246.55005
1336;2276.4
1337;2308.24995
1338;2302.30005
1339;2369.15
1340;2457.65005
1341;2348.85
1342;2165.45
1343;1939.65005
1344;1714.95
1345;1542.74995
1346;1411.59995
1347;1334.85
1348;1324.8
1349;1338.6
1350;1417.29995
1351;1665.25
1352;1988.74995
1353;2328
1354;2396.4
1355;2363.69995
1356;2324.85005
1357;2252.09995
1358;2142.5
1359;2190.7001
1360;2246.25005
1361;2255.55
1362;2276.1
1363;2408.44995
1364;2461.85
1365;2344.15
1366;2179
1367;1932.94995
1368;1727.25005
1369;1525.00005
1370;1408.35005
1371;1350.84995
1372;1318.95
1373;1331.1501
1374;1418.25
1375;1664.30005
1376;1983.05005
1377;2254.55
1378;2342.55005
1379;2314.45
1380;2283.30005
1381;2170.2
1382;2089.95005
1383;2164.1
1384;2176.64995
1385;2218.25
1386;2214.69995
1387;2319.6
1388;2445.65
1389;2339.55
1390;2179.05
1391;1915.8
1392;1726.85005
1393;1580.70005
1394;1465.90005
1395;1405.89995
1396;1391.1
1397;1399.1499
1398;1475.05005
1399;1725.40005
1400;2005.35005
1401;2305.99995
1402;2375.2
1403;2314.74995
1404;2255.45
1405;2152.6
1406;2063.65
1407;2129.40005
1408;2173.40005
1409;2201.95
1410;2200.50005
1411;2294.34995
1412;2424.9
1413;2290.55
1414;2135.3
1415;1906.9
1416;1715.45005
1417;1558.0499
1418;1420.4
1419;1354.15005
1420;1339.75
1421;1340.8
1422;1407.95005
1423;1662.85
1424;1953.59995
1425;2203.04995
1426;2270
1427;2252.44995
1428;2254.25
1429;2177.40005
1430;2109.85
1431;2139.34995
1432;2177
1433;2224.8
1434;2226.6
1435;2331.1
1436;2430.2
1437;2309.49995
1438;2123.40005
1439;1897.4
1440;1727.65
1441;1558.70005
1442;1449.5
1443;1363.5
1444;1309.85
1445;1300.15
1446;1317.29995
1447;1426
1448;1545.9
1449;1741.1
1450;1878.5
1451;1857.65
1452;1809
1453;1717.1
1454;1644.3
1455;1592.39995
1456;1582.15
1457;1585.15005
1458;1671.9
1459;1865.34995
1460;2042.35
1461;1941.34995
1462;1765.9
1463;1618.05005
1464;1479.85
1465;1381.14995
1466;1271.99995
1467;1199.75005
1468;1165.75
1469;1142.79995
1470;1170.39995
1471;1233.50005
1472;1243.6
1473;1336.05
1474;1465.14995
1475;1536.65005
1476;1527.15005
1477;1529.59995
1478;1487.89995
1479;1422.70005
1480;1462.55
1481;1446.75
1482;1484.15
1483;1638.39995
1484;1835.55
1485;1800.80005
1486;1694.05
1487;1589.19995
1488;1428.54995
1489;1266.15
1490;1186.5
1491;1138.14995
1492;1120.1
1493;1140.70005
1494;1226
1495;1513.05
1496;1796.25
1497;2128.15
1498;2238.40005
1499;2252.50005
1500;2261.35
1501;2157.4
1502;2093.0499
1503;2208.5
1504;2235.74995
